"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: Local currency","2020",13202.24,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: 2017 PPP $","2020",770.51,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: U.S. dollars","2020",171.87,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: Local currency","2020",11398.58,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2020",665.24,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2020",148.39,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: Local currency","2020",13240.99,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2020",772.77,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2020",172.38,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: Local currency","2020",13439.39,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
