country,countrynr,year,pnoinsur,popu1564,pcovratp,ptakeupn,popu65ab,popuabpa,pturat65,pturatpa,prefrper,pcontper,pinceil,pmeantst,presitst,pfininsr,pfinstat,pfinempr,pfinothr,pbenmins,pbenstws,pbenfuls,pbenmaxs,pbeminco,pbestwco,pbefulco,pbemaxco,pbeaverp,gapwyear,pratmins,pratstws,pratfuls,pratmaxs,prtminco,prtstwco,prtfulco,prtmaxco,prtaverp,unoinsur,ulabforc,employes,ucovratl,ucovrate,uwaiting,uduratio,urefrper,ucontper,uinceil,umeantst,ufininsr,ufinstat,ufinempr,ufinothr,ubestw1s,ubesw26s,ubenmins,ubenfuls,ubenmaxs,ubestw1f,ubesw26f,ubenminf,ubenfulf,ubenmaxf,ugapweek,urtstw1s,urtsw26s,uratmins,uratfuls,uratmaxs,urtstw1f,urtsw26f,uratminf,uratfulf,uratmaxf,snoinsur,slabforc,spop1564,scovratl,scovratp,swaiting,sduratio,srefrper,scontper,sinceil,smeantst,sfininsr,sfinstat,sfinempr,sfinothr,sbestw1s,sbesw26s,sbenmins,sbenfuls,sbenmaxs,sbestw1f,sbesw26f,sbenminf,sbenfulf,sbenmaxf,sgapweek,srtstw1s,srtsw26s,sratmins,sratfuls,sratmaxs,srtstw1f,srtsw26f,sratminf,sratfulf,sratmaxf,anoinsur,alabforc,acovratl,awaiting,aduratio,arefrper,acontper,ainceil,ameantst,afininsr,afinstat,afinempr,afinothr,abestw1s,abesw26s,abenmins,abenfuls,abenmaxs,abestw1f,abesw26f,abenminf,abenfulf,abenmaxf,agapweek,artstw1s,artsw26s,aratmins,aratfuls,aratmaxs,artstw1f,artsw26f,aratminf,aratfulf,aratmaxf,unmsinet,unmfanet,sicsinet,sicfanet,accsinet,accfanet,netapwsi,netapwfa,netapwco,pminnesi,pstwnesi,pfulnesi,pmaxnesi,pminneco,pstwneco,pfulneco,pmaxneco,gapw26wy,n26apwsi,n26apwfa,napweksi,napwekfa,pnermisi,pnerswsi,pnerfusi,pnermxsi,pnermico,pnerswco,pnerfuco,pnermxco,u1stners,u1stnerf,s1stners,s1stnerf,a1stners,a1stnerf,uzrr26si,uzrr26fa,szrr26si,szrr26fa,azrr26si,azrr26fa,px2indst,uz4ind,sz4ind,az4ind,uz2inds,sz2inds,az2inds,uz2indf,sz2indf,az2indf
AUS,36,1930,0,,0.00,160,381,487,0.42,0.33,0,0,0,1,1,0.00,1.00,0.00,,104.00,104.00,104.00,104.00,0.00,0.00,0.00,0.00,99.84,544.44,0.19,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.18,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,103.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.47,0.00,106.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,655,1042,0.63,7,270,0,0,1,0,0.00,0.00,1.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.00,272.00,272.00,272.00,428.00,524.00,533.00,543.00,538.00,0.00,0.00,0.00,8088.00,0.00,0.00,0.00,208.00,272.00,272.00,272.00,10.25,10.44,0.00,0.00,0.00,15.17,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.93,0.00,0.00,0.00,0.38,0.00,0.00,0.30,0.00,0.00,0.46
AUS,36,1933,0,,0.00,192,442,556,0.43,0.35,0,0,0,1,1,0.00,1.00,0.00,,91.00,91.00,91.00,91.00,182.00,182.00,182.00,182.00,82.68,450.84,0.20,0.20,0.20,0.20,0.40,0.40,0.40,0.40,0.18,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597,1092,0.55,7,288,0,0,1,0,0.00,0.00,1.00,,5.78,5.78,0.00,5.78,6.00,8.67,8.67,0.00,8.67,10.00,8.67,0.67,0.67,0.00,0.67,0.69,1.00,1.00,0.00,1.00,1.15,225.00,225.00,225.00,225.00,375.00,450.00,443.00,450.00,447.00,91.00,91.00,91.00,91.00,182.00,182.00,182.00,182.00,225.00,225.00,225.00,8.52,8.65,0.21,0.21,0.21,0.21,0.41,0.41,0.41,0.41,0.00,0.00,0.00,0.00,0.68,1.00,0.00,0.00,0.00,0.00,0.69,1.00,0.31,0.00,0.00,0.84,0.00,0.00,0.68,0.00,0.00,1.00
AUS,36,1939,0,,0.00,278,516,647,0.54,0.43,0,0,0,1,1,0.00,1.00,0.00,,104.00,104.00,104.00,104.00,208.00,208.00,208.00,208.00,100.10,528.32,0.20,0.20,0.20,0.20,0.39,0.39,0.39,0.39,0.19,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,794,1191,0.67,7,270,0,0,1,0,0.00,0.00,1.00,,6.00,6.00,0.00,6.00,6.00,9.70,9.70,0.00,9.70,10.00,10.16,0.59,0.59,0.00,0.59,0.59,0.95,0.95,0.00,0.95,0.98,264.00,264.00,264.00,264.00,420.00,516.00,507.00,526.00,517.00,104.00,104.00,104.00,104.00,208.00,208.00,208.00,208.00,264.00,264.00,264.00,9.75,10.12,0.21,0.21,0.21,0.21,0.40,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.62,0.96,0.00,0.00,0.00,0.00,0.64,0.96,0.30,0.00,0.00,0.79,0.00,0.00,0.63,0.00,0.00,0.96
AUS,36,1947,0,,0.00,295,610,775,0.48,0.38,0,0,0,1,1,0.00,1.00,0.00,,195.00,195.00,195.00,195.00,390.00,390.00,390.00,390.00,163.02,755.04,0.26,0.26,0.26,0.26,0.52,0.52,0.52,0.52,0.22,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,2.50,2.50,0.00,2.50,2.50,5.00,5.00,0.00,5.00,5.00,14.52,0.17,0.17,0.00,0.17,0.17,0.34,0.34,0.00,0.34,0.34,0,,,0.00,0.00,7,260,0,0,0,1,0.00,1.00,0.00,,2.50,2.50,0.00,2.50,2.50,5.00,5.00,0.00,5.00,5.00,14.52,0.17,0.17,0.00,0.17,0.17,0.34,0.34,0.00,0.34,0.34,911,1271,0.72,3,270,0,0,1,0,0.00,0.00,1.00,,7.00,7.00,4.00,7.00,7.00,11.50,11.50,8.50,11.50,11.50,14.52,0.48,0.48,0.28,0.48,0.48,0.79,0.79,0.58,0.79,0.79,443.00,547.00,443.00,547.00,560.00,716.00,679.00,784.00,713.00,195.00,195.00,195.00,195.00,390.00,390.00,390.00,390.00,378.00,378.00,417.00,13.06,14.33,0.29,0.29,0.29,0.29,0.55,0.55,0.55,0.55,0.19,0.35,0.19,0.35,0.54,0.80,0.22,0.35,0.22,0.35,0.60,0.81,0.42,0.28,0.28,0.69,0.20,0.20,0.57,0.35,0.35,0.81
AUS,36,1950,0,,0.00,361,664,846,0.54,0.43,0,0,0,1,1,0.00,1.00,0.00,,260.00,260.00,260.00,260.00,520.00,520.00,520.00,520.00,212.68,1098.24,0.24,0.24,0.24,0.24,0.47,0.47,0.47,0.47,0.19,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,2.50,2.50,0.00,2.50,2.50,5.00,5.00,0.00,5.00,5.00,21.12,0.12,0.12,0.00,0.12,0.12,0.24,0.24,0.00,0.24,0.24,0,,,0.00,0.00,7,260,0,0,0,1,0.00,1.00,0.00,,2.50,2.50,0.00,2.50,2.50,5.00,5.00,0.00,5.00,5.00,21.12,0.12,0.12,0.00,0.12,0.12,0.24,0.24,0.00,0.24,0.24,972,1329,0.73,0,252,0,0,1,0,0.00,0.00,1.00,,8.00,8.00,6.00,8.00,8.00,13.00,13.00,11.00,13.00,14.00,21.12,0.38,0.38,0.28,0.38,0.38,0.62,0.62,0.52,0.62,0.66,609.00,718.00,609.00,718.00,752.00,926.00,1041.00,1120.00,1066.00,260.00,260.00,260.00,260.00,520.00,520.00,520.00,520.00,549.00,544.00,588.00,20.02,20.04,0.25,0.25,0.25,0.25,0.49,0.49,0.49,0.49,0.12,0.25,0.12,0.25,0.40,0.65,0.13,0.24,0.13,0.24,0.42,0.64,0.37,0.19,0.19,0.53,0.13,0.13,0.41,0.25,0.25,0.64
AUS,36,1955,0,,0.00,465,771,970,0.60,0.48,0,0,0,1,1,0.00,1.00,0.00,,416.00,416.00,416.00,416.00,832.00,832.00,832.00,832.00,349.96,1921.92,0.22,0.22,0.22,0.22,0.43,0.43,0.43,0.43,0.18,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,5.00,5.00,0.00,5.00,5.00,9.50,9.50,0.00,9.50,9.50,36.96,0.14,0.14,0.00,0.14,0.14,0.26,0.26,0.00,0.26,0.26,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,5.00,5.00,0.00,5.00,5.00,9.50,9.50,0.00,9.50,9.50,36.96,0.14,0.14,0.00,0.14,0.14,0.26,0.26,0.00,0.26,0.26,1067,1435,0.74,0,520,0,0,1,0,0.00,0.00,1.00,,17.60,17.60,13.00,17.60,17.60,25.50,25.50,22.00,25.50,25.50,36.96,0.48,0.48,0.35,0.48,0.48,0.69,0.69,0.59,0.69,0.69,1062.00,1245.00,1062.00,1245.00,1390.00,1661.00,1728.00,1855.00,1774.00,416.00,416.00,416.00,416.00,832.00,832.00,832.00,832.00,961.00,932.00,998.00,33.23,34.17,0.24,0.24,0.24,0.24,0.47,0.47,0.47,0.47,0.15,0.28,0.15,0.28,0.53,0.75,0.16,0.29,0.16,0.29,0.58,0.77,0.35,0.22,0.22,0.66,0.16,0.16,0.55,0.28,0.28,0.76
AUS,36,1960,0,,0.00,588,875,1081,0.67,0.54,0,0,0,1,1,0.00,1.00,0.00,,520.00,520.00,520.00,520.00,1040.00,1040.00,1040.00,1040.00,486.20,2333.76,0.22,0.22,0.22,0.22,0.45,0.45,0.45,0.45,0.21,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,6.50,6.50,0.00,6.50,6.50,12.25,12.25,0.00,12.25,12.25,44.88,0.14,0.14,0.00,0.14,0.14,0.27,0.27,0.00,0.27,0.27,0,,,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,6.50,6.50,0.00,6.50,6.50,12.25,12.25,0.00,12.25,12.25,44.88,0.14,0.14,0.00,0.14,0.14,0.27,0.27,0.00,0.27,0.27,1219,1560,0.78,0,520,0,0,0,0,0.00,0.00,1.00,,21.00,21.00,14.00,21.00,21.00,32.00,32.00,25.00,32.00,0.00,44.88,0.47,0.47,0.31,0.47,0.47,0.71,0.71,0.56,0.71,0.00,1286.00,1521.00,1286.00,1521.00,1663.00,2034.00,2042.00,2201.00,2102.00,520.00,520.00,520.00,520.00,1040.00,1040.00,1040.00,1040.00,1167.00,1117.00,1202.00,39.27,40.83,0.25,0.25,0.25,0.25,0.49,0.49,0.49,0.49,0.17,0.30,0.17,0.30,0.53,0.78,0.18,0.32,0.18,0.32,0.59,0.83,0.37,0.24,0.24,0.69,0.17,0.17,0.56,0.31,0.31,0.81
AUS,36,1965,0,7085,0.00,742,966,1182,0.77,0.63,0,0,0,1,1,0.00,1.00,0.00,,624.00,624.00,624.00,624.00,1144.00,1144.00,1144.00,1144.00,581.36,2722.72,0.23,0.23,0.23,0.23,0.42,0.42,0.42,0.42,0.21,0,4869,4792,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,8.25,8.25,0.00,8.25,8.25,17.25,17.25,0.00,17.25,17.25,52.36,0.16,0.16,0.00,0.16,0.16,0.33,0.33,0.00,0.33,0.33,0,4869,7085,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,8.25,8.25,0.00,8.25,8.25,17.25,17.25,0.00,17.25,17.25,52.36,0.16,0.16,0.00,0.16,0.16,0.33,0.33,0.00,0.33,0.33,1442,1772,0.81,0,520,0,0,0,0,0.00,0.00,1.00,,23.50,23.50,16.00,23.50,23.50,34.80,34.80,27.30,34.80,0.00,52.36,0.45,0.45,0.31,0.45,0.45,0.67,0.67,0.52,0.67,0.00,1528.00,1872.00,1528.00,1872.00,1924.00,2328.00,2444.00,2643.00,2506.00,624.00,624.00,624.00,624.00,1144.00,1144.00,1144.00,1144.00,1361.00,1313.00,1423.00,47.00,49.33,0.26,0.26,0.26,0.26,0.46,0.46,0.46,0.46,0.18,0.35,0.18,0.35,0.50,0.71,0.19,0.37,0.19,0.37,0.54,0.74,0.36,0.27,0.27,0.62,0.18,0.18,0.52,0.36,0.36,0.72
AUS,36,1970,0,7937,0.00,912,1044,1292,0.87,0.71,0,0,0,1,1,0.00,1.00,0.00,,806.00,806.00,806.00,806.00,1430.00,1430.00,1430.00,1430.00,707.72,3637.92,0.22,0.22,0.22,0.22,0.39,0.39,0.39,0.39,0.20,0,5562,5472,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,10.00,10.00,0.00,10.00,10.00,23.00,23.00,0.00,23.00,23.00,69.96,0.14,0.14,0.00,0.14,0.14,0.33,0.33,0.00,0.33,0.33,0,5562,7937,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,10.00,10.00,0.00,10.00,10.00,23.00,23.00,0.00,23.00,23.00,69.96,0.14,0.14,0.00,0.14,0.14,0.33,0.33,0.00,0.33,0.33,1600,1910,0.84,0,520,0,0,0,0,0.00,0.00,1.00,,32.50,32.50,22.00,32.50,32.50,49.50,49.50,39.00,49.50,0.00,69.96,0.47,0.47,0.31,0.47,0.47,0.71,0.71,0.56,0.71,0.00,1983.00,2472.00,1983.00,2472.00,2568.00,3161.00,3177.00,3414.00,3253.00,806.00,806.00,806.00,806.00,1430.00,1430.00,1430.00,1430.00,1819.00,1723.00,1874.00,61.10,64.15,0.25,0.25,0.25,0.25,0.44,0.44,0.44,0.44,0.16,0.36,0.16,0.36,0.53,0.77,0.18,0.39,0.18,0.39,0.58,0.84,0.35,0.27,0.27,0.68,0.17,0.17,0.56,0.37,0.37,0.80
AUS,36,1975,8731,8731,1.00,1241,1212,1511,1.02,0.82,0,0,0,0,1,0.00,1.00,0.00,,2015.00,2015.00,2015.00,2015.00,3354.00,3354.00,3354.00,3354.00,1720.68,7321.60,0.28,0.28,0.28,0.28,0.46,0.46,0.46,0.46,0.23,0,6238,5936,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,38.75,38.75,0.00,38.75,38.75,79.50,79.50,0.00,79.50,79.50,140.80,0.28,0.28,0.00,0.28,0.28,0.56,0.56,0.00,0.56,0.56,0,6238,8862,0.00,0.00,7,520,0,0,0,1,0.00,1.00,0.00,,38.75,38.75,0.00,38.75,38.75,79.50,79.50,0.00,79.50,79.50,140.80,0.28,0.28,0.00,0.28,0.28,0.56,0.56,0.00,0.56,0.56,1631,2162,0.75,0,520,0,0,0,0,0.00,0.00,1.00,,64.00,64.00,42.00,64.00,64.00,96.00,96.00,42.00,96.00,0.00,140.80,0.46,0.46,0.30,0.46,0.46,0.68,0.68,0.30,0.68,0.00,4440.00,5806.00,4440.00,5806.00,5096.00,6235.00,6165.00,6974.00,6565.00,2015.00,2015.00,2015.00,2015.00,3354.00,3354.00,3354.00,3354.00,3661.00,3432.00,3739.00,118.56,132.62,0.33,0.33,0.33,0.33,0.51,0.51,0.51,0.51,0.33,0.60,0.33,0.60,0.54,0.72,0.37,0.64,0.37,0.64,0.61,0.77,0.42,0.48,0.48,0.66,0.35,0.35,0.57,0.62,0.62,0.75
