Country,Colonized,Independence,Region,Principal Colonial Power,Remarks on independence,Remarks on date of colonization
Algeria,1830,1962,Africa,France,5 July 1962 (from France),Conquest of Algiers
Angola,1575,1975,Africa,Portugal,11 November 1975 (from Portugal),
Antigua and Barbuda,1632,1981,Americas,UK,1 November 1981 (from the UK),
Argentina,1542,1816,Americas,Spain,9 July 1816 (from Spain),Viceroyalty of Peru
Australia,1788,1901,Asia,UK,1 January 1901 (from the federation of UK colonies),Australia Day
Bahrain,1892,1971,Asia,UK,15 August 1971 (from the UK),
Barbados,1627,1966,Americas,UK,30 November 1966 (from the UK),
Belize,1638,1981,Americas,UK,21 September 1981 (from the UK),
Benin,1892,1960,Africa,France,1 August 1960 (from France),
Bolivia,1533,1825,Americas,Spain,6 August 1825 (from Spain),Conquest of Inca Empire
Botswana,1885,1966,Africa,UK,30 September 1966 (from the UK),
Brazil,1534,1822,Americas,Portugal,7 September 1822 (from Portugal),Captaincies of Brazil
Brunei,1888,1984,Asia,UK,1 January 1984 (from the UK),Treaty of Protection 
Burkina Faso,1896,1960,Africa,France,5 August 1960 (from France),Become French Protectorate
Burma,1885,1948,Asia,UK,4 January 1948 (from the UK),Annexed after Third Anglo-British War
Burundi,1891,1962,Africa,Belgium,1 July 1962 (from UN trusteeship under Belgian administration),Originally part of German East Africa
Cambodia,1867,1953,Asia,France,9 November 1953 (from France),Originally claimed by Germany
Cameroon,1884,1960,Africa,France,1 January 1960 (from French-administered UN trusteeship),
Canada,1534,1867,Americas,UK,1 July 1867 (union of British North American colonies); 11 December 1931 (recognized by UK per Statute of Westminster),New France
CAR,1894,1960,Africa,France,13 August 1960 (from France),Ubangi-Shari
Chad,1900,1960,Africa,France,11 August 1960 (from France),Territoire Militaire des Pays et Protectorats du Tchad�
Chile,1541,1810,Americas,Spain,18 September 1810 (from Spain),Santiago founded
Colombia,1510,1810,Americas,Spain,20 July 1810 (from Spain),Founding of Santa Mar�a la Antigua del Dari_n
Comoros,1841,1975,Africa,France,6 July 1975 (from France),
DRC,1876,1960,Africa,Belgium,30 June 1960 (from Belgium),Stanley's first exploration of the Congo
"Congo, Republic of the",1880,1960,Africa,France,15 August 1960 (from France),Treaty with de Brazza
Costa Rica,1522,1821,Americas,Spain,15 September 1821 (from Spain),Arrival of Gil Gonzolez Davila
Cote d'Ivoire,1844,1960,Africa,France,7 August 1960 (from France),Establishment of French Protectorate
Cuba,1511,1902,Americas,Spain,20 May 1902 (from Spain 10 December 1898; administered by the US from 1898 to 1902); not acknowledged by the Cuban Government as a day of independence,First Spanish Settlement
Djibouti,1894,1977,Africa,France,27 June 1977 (from France),French Somalialand
Ecuador,1534,1822,Americas,Spain,24 May 1822 (from Spain),Conquest of Sebasti�n de Benalc�zar
Egypt,1882,1956,Africa,UK,28 February 1922 (from UK protectorate status; the revolution that began on 23 July 1952 led to a republic being declared on 18 June 1953 and all British troops withdrawn on 18 June 1956); note - it was ca. 3200 B.C. that the Two Lands of Upper (southern) and Lower (northern) Egypt were first united politically,British occupation
El Salvador,1524,1821,Americas,Spain,15 September 1821 (from Spain),Conquest by Pedro de Alvarado
Equatorial Guinea,1844,1968,Africa,Spain,12 October 1968 (from Spain),Territorios Espa_oles del Golfo de Guinea
Fiji,1874,1970,Asia,UK,10 October 1970 (from the UK),British subjugation
Gabon,1885,1960,Africa,France,17 August 1960 (from France),Occupied by France
"Gambia, The",1815,1965,Africa,UK,18 February 1965 (from the UK),British presence established
Ghana,1612,1957,Africa,UK,6 March 1957 (from the UK),Gold coast forts 
Grenada,1649,1974,Americas,UK,7 February 1974 (from the UK),French found permanent settlement
Guatemala,1524,1821,Americas,Spain,15 September 1821 (from Spain),Conquest by Pedro de Alvarado
Guinea-Bissau,1482,1974,Africa,Portugal,24 September 1973 (declared); 10 September 1974 (from Portugal),Portuguese gold coast colony
Guinea,1850,1958,Africa,France,2 October 1958 (from France),French military penetration in the mid-19th century
Guyana,1616,1966,Americas,UK,26 May 1966 (from the UK),Essequebo colony (Durch)
Haiti,1492,1804,Americas,France,1 January 1804 (from France),Columbus found La Navidad
Honduras,1524,1821,Americas,Spain,15 September 1821 (from Spain),Conquest of Gil Gonz�lez de �vila
Hong Kong,1842,1997,Asia,UK,none (special administrative region of China),Treaty of Nanking
India,1756,1947,Asia,UK,15 August 1947 (from the UK),Company rule by East India Company begins
Indonesia,1602,1949,Asia,Netherlands,17 August 1945 (declared),Dutch East India Company Established in 1602
