cow_code,ISO3c,SIED_workinjury_coverage_imputed,SIED_workinjury_coverage_imputed_full,SIED_RR_Sing_imputed,SIED_RR_Sing_imputed_full
2,USA,0.88,0.88,0.95,0.95
6,NA,NA,NA,NA,NA
20,CAN,0.82,0.82,0.97,0.97
31,BHS,0.89,0.89,0.875,0.875
40,CUB,0.956,0.956,0.965,0.965
41,HTI,0.16,0.16,0.876,0.876
42,DOM,NA,0.516,0.931,0.931
51,JAM,0.536,0.536,0.831,0.831
52,TTO,0.741,0.741,0.876,0.876
53,BRB,0.685,0.685,1.032,1.032
54,DMA,0.628,0.628,0.831,0.831
55,GRD,0.624,0.624,0.898,0.898
56,LCA,0.522,0.522,0.865,0.865
57,VCT,0.611,0.611,0.898,0.898
58,ATG,NA,0.516,0.931,0.931
60,KNA,0.857,0.857,0.931,0.931
70,MEX,0.541,0.541,1.098,1.098
80,BLZ,0.809,0.809,0.931,0.931
90,GTM,0.67,0.67,0.831,0.831
91,HND,0.177,0.177,1.098,1.098
92,SLV,0.293,0.293,0.931,0.931
93,NIC,0.458,0.458,0.831,0.831
94,CRI,0.641,0.641,0.976,0.976
95,PAN,0.663,0.663,0.92,0.92
100,COL,0.484,0.484,1.098,1.098
101,VEN,0.605,0.605,1.098,1.098
110,GUY,0.58,0.58,0.898,0.898
115,SUR,NA,0.423,0.965,0.965
130,ECU,0.518,0.518,0.901,0.901
135,PER,0.43,0.43,1.098,1.098
140,BRA,0.603,0.603,1.038,1.038
145,BOL,0.18,0.18,1.098,1.098
150,PRY,0.347,0.347,0.931,0.931
155,CHL,0.822,0.822,1.098,1.098
160,ARG,0.505,0.505,1.098,1.098
165,URY,0.605,0.605,0.876,0.876
200,GBR,0.95,0.95,0.19,0.19
205,IRL,0.927,0.927,0.665,0.665
210,NLD,0.84,0.84,0.7,0.7
211,BEL,0.81,0.81,1.17,1.17
212,LUX,0.98,0.98,1.15,1.15
220,FRA,0.83,0.83,1.05,1.05
221,MCO,NA,1.613,0.857,0.857
223,LIE,NA,1.613,0.765,0.765
225,CHE,0.96,0.96,0.87,0.87
