country_name,cow_code,independence,labor_workinjury_firstlaw,labor_workinjury_firstlaw_source,labor_workinjury_firstins,labor_workinjury_firstins_source,labor_workinjury_first_fund,labor_workinjury_first_fund_source,labor_workinjury_first_socins,labor_workinjury_first_socins_source,labor_workinjury_firstnat,labor_workinjury_firstnat_carriedover,labor_workinjury_firstlaw_programtype,**_source,labor_workinjury_firstlaw_sspw,labor_workinjury_firstlaw_whitecollar,labor_workinjury_firstlaw_whitecollar_coverage,labor_workinjury_firstlaw_whitecollar_fullcoverage,**_source,labor_workinjury_firstlaw_bluecollar,labor_workinjury_firstlaw_bluecollar_coverage,labor_workinjury_firstlaw_bluecollar_fullcoverage,**_source,labor_workinjury_firstins_bluecollar_fullcoverage,**_source,labor_workinjury_firstlaw_agriworkers,labor_workinjury_firstlaw_agriworkers_coverage,labor_workinjury_firstlaw_agriworkers_fullcoverage,**_source,workinjury_replacement_rate_perm_2020,workinjury_duration_perm_2020,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,Region,global_south,workinjury_coverage_GEIP,workinjury_coverage_WSPR,colonial_history
Afghanistan,700,1919,1946,SSPW 2017,1987,SSPW 2017,,,1987,SSPW 2003,1946,no,Employer liability,SSPW 2017,1946,,,1987,SSPW 1999,,,1946,inferred,1987,SSPW 1999,,,1987,SSPW 1999,80,24,40,6,Southern Asia,1,0,4.2,None
Albania,339,1914,1947,Farman and Hale 1947; SSPW 1949,1947,Farman and Hale 1947; SSPW 1949,,,1947,Farman and Marren Hale 1949 ,1947,no,Risk-Pooling,Farman and Marren Hale 1949 ,1947,1947,,1947,ILO LS 1947,1947,All,1947,Farman and Hale 1947; ILO LS 1947; SSPW 1949,1947,ILO LS 1947,1947,,1947,ILO LS 1949,90,60 months,75,60 months,Southern Europe,0,0.347,34,None
Algeria,615,1962,1919,Besson 1927,1949,ILO LS 1949,,,1949,ILO LS 1949,1962,yes,Employer liability,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 730 (Zotero),1919,,,1966,NATLEX,1919,,1949,ILO LS 1949,1962,ILO LS 1949; Algerian Constitution,,,1971,ILO LS 1971,90,unlimited,100,unlimited,Northern Africa,1,0.538,53.8,France
Andorra,232,1993,1966,SSPW 1999,1966,SSPW 1999,,,1966,SSPW 1999,1993,yes,Risk-Pooling,SSPW 1999,1966,,,1966,SSPW 1999,,,1966,SSPW 1999,1966,SSPW 1999,,,1966,SSPW 1999,100,unlimited,65,unlimited,Southern Europe,0,NA,NA,None
Angola,540,1975,1958,ILO LS 1958,1990,Angola 1990,2004,Muchena 2019,2008,NATLEX; SSPW 2019,1981,yes,Risk-Pooling,Angola 1990,1990,,,1990,inferred,1958,unknown,1990,inferred,2008,NATLEX; SSPW 2019,1981,inferred,2004,SSPW 2019,70,unlimited,70,unlimited,Sub-Saharan Africa,1,NA,NA,Portugal
Antigua & Barbuda,58,1967,1937,ILO LS 1955,1972,Antigua and Barbuda 2020,1972,Antigua and Barbuda 2020,1972,Antigua and Barbuda 1972,1967,yes,Employer liability,Palmer 2014,1956,,,1972,Antigua & Barbuda 1972,1937,natives not really covered until independence,1967,inferred,1972,Antigua & Barbuda 1972,,,1972,Antigua & Barbuda 1972,90,60 months,75,60 months,Latin America and the Caribbean,1,NA,NA,UK
Argentina,160,1841,1915,BLS 1930,1916,BLS 1930,1916,BLS 1930,1996,Argentina 1996,1915,no,Employer liability,BLS 1930,1915,,,1996,Perez 2015,1915,"earning under 3,000 pesos, but this was very high for that time",1915,BLS 1930,1996,SSPW 2003,1940,Those not subsistence and working in industrial-level agriculture,1955,Boletín Oficial de la República Argentina 1940; Perez 2015,69,53 months,100,12 months,Latin America and the Caribbean,1,0.449,47.4,Spain
Armenia,371,1918,1922,Abramson 1929,1922,Abramson 1929,,,1922,Abramson 1930,1922,no,Risk-Pooling,Abramson 1929,1955,,,1922,ILO LS 1922,,,1922,ILO LS 1922,1922,ILO LS 1922,1922,,1922,ILO LS 1922; ILO 1935 (Report on Social Insurance),100,unlimited,80,unlimited,Western Asia,0,0.593,53.2,Russian
Australia,900,1901,1905,SSPW 1949,1926,ILO 1935,,,1934,ILO 1935; (inferred),1910,no,Employer liability,ILO 1935,1911,,,1931,SSPW 1949,,,1926,ILO 1935 (Report on Social Insurance),1931,SSPW 1949,1916,limited by territory,1931,ILO 1935 (Report on Social Insurance),75,unlimited,95,3.25 months,Australia and New Zealand,0,0.72,72,UK
Austria,305,1919,1854,"Sherman 1915, p. 860",1854,Sherman 1915,,,1854,Sherman 1915,1919,yes,Risk-Pooling,Sherman 1915,1887,1888,,1926,ILO 1935 (Report on Social Insurance),1854,miners,1887,Sherman 1915; Youngman 1931,1925,ILO 1935 (Report on Social Insurance),,,1928,ILO 1935 (Report on Social Insurance),66.7,unlimited,76.7,unlimited,Western Europe,0,0.774,77.4,None
