Country,Most Recent Year,Most Recent Value,,
Bangladesh,2017,41,,
Belgium,2017,1,,
Burkina Faso,2017,76,,
Bulgaria,2017,7,,
Venezuela,2017,8,,
Bosnia and Herzegovina,2017,19,,
Barbados,2017,3,,
Brunei Darussalam,2017,1,,
Bahrain,2017,1,,
Burundi,2017,86,,
Jamaica,2017,17,,
Botswana,2017,21,,
Samoa,2017,26,,
Brazil,2017,9,,
Bahamas,2017,3,,
Channel Islands,2017,3,,
Russian Federation,2017,6,,
Equatorial Guinea,2017,56,,
United Kingdom,2017,1,,
West Bank and Gaza,2017,7,,
French Polynesia,2017,2,,
Papua New Guinea,2017,20,,
Solomon Islands,2017,39,,
"Macao SAR, China",2017,1,,
North Macedonia,2017,16,,
New Caledonia,2017,4,,
Central African Republic,2017,70,,
Sao Tome and Principe,2017,19,,
"Korea, Dem. People's Rep.",2017,45,,
Bolivia,2017,30,,
Benin,2017,32,,
Bhutan,2017,57,,
Belarus,2017,9,,
Rwanda,2017,60,,
Lithuania,2017,8,,
Mozambique,2017,72,,
Luxembourg,2017,1,,
Romania,2017,23,,
Guinea-Bissau,2017,55,,
Guatemala,2017,32,,
Eswatini,2017,13,,
Guyana,2017,19,,
Georgia,2017,43,,
El Salvador,2017,19,,
Viet Nam,2017,40,,
Gambia,2017,51,,
Uruguay,2017,9,,
Hungary,2017,5,,
Hong Kong,2017,0,,
Honduras,2017,32,,
Turkmenistan,2017,25,,
Timor-Leste,2017,45,,
Puerto Rico,2017,1,,
Portugal,2017,6,,
Paraguay,2017,20,,
Slovenia,2017,6,,
Panama,2017,14,,
Zimbabwe,2017,65,,
Pakistan,2017,40,,
Philippines,2017,25,,
Zambia,2017,59,,
South Africa,2017,17,,
Ecuador,2017,28,,
Ethiopia,2017,66,,
Somalia,2017,29,,
Tajikistan,2017,46,,
Montenegro,2017,8,,
Moldova,2017,36,,
Madagascar,2017,75,,
Morocco,2017,35,,
Uzbekistan,2017,26,,
Myanmar,2017,51,,
Mongolia,2017,29,,
Mauritius,2017,7,,
Malawi,2017,64,,
Maldives,2017,9,,
Mauritania,2017,32,,
Uganda,2017,65,,
Malaysia,2017,11,,
Mexico,2017,13,,
Finland,2017,4,,
Nicaragua,2017,30,,
Azerbaijan,2017,36,,
Netherlands,2017,2,,
Norway,2017,2,,
Namibia,2017,21,,
Vanuatu,2017,53,,
Cote d'Ivoire,2017,42,,
Switzerland,2017,3,,
Colombia,2017,17,,
Cameroon,2017,45,,
New Zealand,2017,6,,
"Congo, Rep.",2017,36,,
"Congo, Dem. Rep.",2017,58,,
Syrian Arab Republic,2017,14,,
Kyrgyz Republic,2017,24,,
Slovak Republic,2017,3,,
Dominican Republic,2017,10,,
Trinidad and Tobago,2017,3,,
Virgin Islands (U.S.),2017,2,,
United Arab Emirates,2017,2,,
"Iran, Islamic Rep.",2017,17,,
Belize,2017,17,,
Serbia,2017,17,,
Kenya,2017,35,,
Cuba,2017,18,,
Guam,2017,0,,
Greece,2017,12,,
Japan,2017,3,,
Gabon,2017,31,,
Guinea,2017,61,,
Ghana,2017,42,,
Oman,2017,5,,
Tunisia,2017,15,,
Tonga,2017,31,,
Croatia,2017,7,,
Haiti,2017,47,,
Peru,2017,26,,
Poland,2017,10,,
Estonia,2017,4,,
Egypt,2017,25,,
Italy,2017,4,,
Spain,2017,4,,
Eritrea,2017,65,,
Mali,2017,63,,
Malta,2017,1,,
Israel,2017,1,,
France,2017,3,,
Fiji,2017,30,,
Niger,2017,72,,
Nigeria,2017,36,,
Nepal,2017,64,,
China,2017,27,,
Chile,2017,9,,
Canada,2017,2,,
Czechia,2017,3,,
Costa Rica,2017,17,,
Cabo Verde,2017,14,,
South Sudan,2017,63,,
Suriname,2017,8,,
Cambodia,2017,38,,
Comoros,2017,36,,
"Korea, Rep.",2017,5,,
Senegal,2017,28,,
Sierra Leone,2017,49,,
Kazakhstan,2017,17,,
Singapore,2017,0,,
Sweden,2017,2,,
Djibouti,2017,1,,
Denmark,2017,2,,
Germany,2017,1,,
United States,2017,2,,
Lebanon,2017,4,,
St. Lucia,2017,10,,
Lao PDR,2017,61,,
Turkiye,2017,19,,
Sri Lanka,2017,26,,
Lesotho,2017,30,,
Thailand,2017,32,,
St. Vincent,2017,11,,
Afghanistan,2017,44,,
Armenia,2017,31,,
Albania,2017,38,,
Argentina,2017,8,,
Australia,2017,3,,
Tanzania,2017,66,,
Indonesia,2017,31,,
Ukraine,2017,15,,
Saudi Arabia,2017,4,,
Cyprus,2017,3,,
Kuwait,2017,2,,
Sudan,2017,41,,
Yemen,2017,31,,
Algeria,2017,10,,
Latvia,2017,7,,
Liberia,2017,41,,
Togo,2017,34,,
Chad,2017,71,,
Libya,2017,18,,
Iraq,2017,21,,
Iceland,2017,4,,
Angola,2017,59,,
Austria,2017,4,,
India,2017,44,,
Ireland,2017,5,,
Jordan,2017,3,,
Qatar,2017,1,,
