"","Mean","SD","Min","Max","N"
"independence",1929,57,1783,2011,186
"labor_workinjury_firstlaw",1935,27,1854,2004,186
"labor_workinjury_firstlaw_sspw",1938,28,1883,2006,172
"labor_workinjury_firstins",1952,32,1854,2017,178
"labor_workinjury_first_fund",1956,31,1901,2017,40
"labor_workinjury_firstlaw_bluecollar_fullcoverage",1948,29,1880,2017,182
"workinjury_replacement_rate_perm_2020",78,19,20,150,170
"workinjury_replacement_rate_temp_2020",77,19,0,100,168
"global_south",1,0,0,1,183
"workinjury_coverage_GEIP",1,0,0,1,154
"workinjury_coverage_SIED_imputed",1,0,0,1,154
"workinjury_coverage_SIED_imputed_full",1,0,0,2,183
"workinjury_replacement_rate_single_SIED_imputed",1,0,0,2,168
"workinjury_replacement_rate_single_SIED_imputed_full",1,0,0,2,183
